id;adresse_email;code_statut;date_statut;code_usage_email
1;strictly in;dense down;2025-04-07;merrily rigidly
2;continually buttery;gah;2025-04-08;meaningfully coast
3;if quaintly yet;however during fooey;2025-04-08;than between brr
4;under;t-shirt fat;2025-04-08;log
5;replacement gladly;instead;2025-04-08;unsteady aside
6;knavishly;yippee developmental tennis;2025-04-07;for mysteriously
7;underneath whoa baseboard;sprinkles despite;2025-04-07;psst ugh
8;gee rural robust;tectonics than ham;2025-04-08;above
9;consequently unto;loyally;2025-04-08;below gentle bug
10;up across;coast volleyball;2025-04-08;supplier
