id;id_entreprise_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siren;code_forme_juridique;raison_sociale;code_categorie_juridique;code_idcc;code_ape
1;drat brr;what before;impossible;under extremely;excluding;arrogantly;drat loudly;oh behest broadside;2025-04-07;2025-04-07;2025-04-07;squeaky after;er hmph misjudge;2025-04-07;2025-04-08;gadzooks;boulevard brr;gah;splurge innovation;tomorrow gray while;once tail utter;triangular till;milestone monthly
2;trash;woot urgently bitterly;phooey sunbeam;sprinkles slake calculating;than hm worriedly;woeful republican eek;archaeology;quaver but;2025-04-07;2025-04-08;2025-04-07;inasmuch bestride;hm who;2025-04-08;2025-04-07;accompanist;dreamily;excellent log quietly;wise;down knowledgeably negligible;dark amid winding;eminent;guilt
3;suitcase;behind;as;coaxingly provided;resolve;whether blight;yuck paralyse;judicious electronics ugh;2025-04-08;2025-04-08;2025-04-07;brochure;smuggle;2025-04-07;2025-04-07;opposite aboard left;spectate;amongst cardboard;determined phew uh-huh;svelte abandoned;inasmuch proper hidden;unlearn;sick quintessential feminize
4;geez frenetically;satisfy;oh instead since;for apologise humor;unfortunate disappointment;jot vastly;capitalize zowie;strange;2025-04-08;2025-04-07;2025-04-08;descendant positively tremendously;underneath;2025-04-08;2025-04-08;knavishly;than skean;within ugh;why experienced ah;out trained swine;ectoderm while nicely;ugly loudly newsletter;slide versus
5;times;excluding even veto;proselytise step vol;midst knottily;unlucky ew;meh granular;yowza atop asset;without toaster;2025-04-08;2025-04-07;2025-04-07;innocent;heavy polarisation prickly;2025-04-08;2025-04-08;different slushy;knight hidden;what lest;cinch ski impact;indeed woot what;except yum bah;challenge;twist past
6;pro gosh nutritious;limply misreport er;roasted;inasmuch yahoo amid;whoa bad energetic;among;at faithfully;mortally speedily;2025-04-07;2025-04-08;2025-04-08;pomelo citizen apud;helpfully though;2025-04-08;2025-04-07;around obnoxiously wedge;adjourn;yuck;neat nervous;providence;beautifully loyalty vivaciously;than chiffonier freezing;exactly lobotomise
7;scarcely armoire hmph;apud far;for ugh;rebuff;conjecture sheathe;hopelessly;brr;sham vista;2025-04-08;2025-04-07;2025-04-07;for claw towards;phooey yum;2025-04-07;2025-04-08;persecute ha;greatly;coarse ouch positively;phew down hence;understated so;vice around;via enormously impossible;drive ugh
8;stable lack for;gah;whose along;intensely properly case;unnaturally tremendously;airmail how hourly;yippee;chunter wedge as;2025-04-07;2025-04-08;2025-04-07;drat pace aw;glider mortally paralyse;2025-04-07;2025-04-07;than;feminize;geez likewise kindheartedly;circumnavigate flat why;knuckle via circa;whitewash upright unwritten;who;questionably
9;enhance carefully or;wherever warp;vacation receptor;catalyst;ah;only however;handsome sesame so;why;2025-04-07;2025-04-07;2025-04-08;save transparency;plus chapel;2025-04-08;2025-04-08;cheese;safely duh galvanize;what pick and;loftily reservation;worst vivid in;via putrefy;aha baritone;yet yum oh
10;narrowcast fatherly;caring than than;pace;snappy hmph;naturally consequently bug;willfully;an enrage only;SUV rotten;2025-04-07;2025-04-07;2025-04-08;unless acquaintance;judicious anti;2025-04-07;2025-04-07;yippee consequently er;or;alongside technician unless;about motor;misfire hose volunteer;slip;surprisingly fiercely than;judgementally whoa
