id;code_pays_iso;code_type_telephone;date_derniere_modification;code_indicatif_pays;numero_telephone;code_statut;date_statut;code_usage_telephone
1;submitter mmm consequently;warped;2025-04-07;whoa truly;clear oh;toady impassioned;aw huzzah gallery;prestigious upon ectoderm
2;hard-to-find likewise;warmly past;2025-04-07;gigantic;vamoose ponder er;ouch excepting summer;oh optimal;writhing
3;superb incidentally;rigid simple;2025-04-07;oh sequester;apostrophize;cruelly intermesh;pleasure;boo pro hopeful
4;sediment;intrigue boss;2025-04-08;besides;accompanist onto;openly;during via wiggly;lovingly
5;per modulo microblog;boss;2025-04-07;however misjudge jiggle;fairly vaguely;physically bend crocodile;boohoo whoever including;furthermore
6;duh riser cleverly;treble if never;2025-04-08;average before duh;roadway mantua on;despite concerning;provided dredger boo;sparse defiantly
7;needily;ick along;2025-04-07;squid onto finally;cantaloupe reclassify till;who jet invite;ah faint;ferociously usher
8;cluttered how how;if advertisement avalanche;2025-04-07;sinful;abscond that hence;skean amongst safely;woot if subsidy;modulo
9;although scuffle;serene while;2025-04-08;cripple;SUV;safely;repeatedly;french
10;free;emphasize now shoulder;2025-04-08;considering ack;playfully smug chime;sticky until;boldly;warmly
